@TYPE,@DESCRIPTION,@VALIDATED,@WHENCREATED,@NAME,@ALLOWAUTOMATICDELETION,@EXPORTFLAG,@DATEVALIDATED,@TEMPLATE,@UNIQUEIDENTIFIER,@WHENUPDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,,0,2018-05-01T03:11:55,,0,0,1899-12-30T00:00:00,0,6430cd234ced11e880d5000d3a02ed0d,2018-05-01T03:11:55,f65a6cd441a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7600199acb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:55,,0,0,1899-12-30T00:00:00,0,6430cd244ced11e880d5000d3a02ed0d,2018-05-01T03:11:55,f65a6cd641a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7600199acb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:56,,0,0,1899-12-30T00:00:00,0,6430cd254ced11e880d5000d3a02ed0d,2018-05-01T03:11:56,f65a6cdf41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7600199acb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:56,,0,0,1899-12-30T00:00:00,0,6430cd264ced11e880d5000d3a02ed0d,2018-05-01T03:11:56,024c5cd141a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7600199acb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:57,,0,0,1899-12-30T00:00:00,0,6430cd274ced11e880d5000d3a02ed0d,2018-05-01T03:11:57,024c5cd341a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7600199acb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:57,,0,0,1899-12-30T00:00:00,0,6430cd284ced11e880d5000d3a02ed0d,2018-05-01T03:11:57,024c5cd541a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7600199acb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:57,,0,0,1899-12-30T00:00:00,0,6430cd294ced11e880d5000d3a02ed0d,2018-05-01T03:11:57,fc5350ef41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e888cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:58,,0,0,1899-12-30T00:00:00,0,6430cd2a4ced11e880d5000d3a02ed0d,2018-05-01T03:11:58,fc53508141a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e93acb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:58,,0,0,1899-12-30T00:00:00,0,6430cd2b4ced11e880d5000d3a02ed0d,2018-05-01T03:11:58,f65a6cff41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,76001887cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:59,,0,0,1899-12-30T00:00:00,0,6430cd2c4ced11e880d5000d3a02ed0d,2018-05-01T03:11:59,024c5c7f41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,81eeb89ccb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:59,,0,0,1899-12-30T00:00:00,0,6430cd2d4ced11e880d5000d3a02ed0d,2018-05-01T03:11:59,fc53507b41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e93acb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:12:00,,0,0,1899-12-30T00:00:00,0,6430cd2e4ced11e880d5000d3a02ed0d,2018-05-01T03:12:00,f65a6da841a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e857cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:12:01,,0,0,1899-12-30T00:00:00,0,6430cd304ced11e880d5000d3a02ed0d,2018-05-01T03:12:01,fc53511841a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,81eeb89ccb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:12:01,,0,0,1899-12-30T00:00:00,0,6430cd314ced11e880d5000d3a02ed0d,2018-05-01T03:12:01,f65a6d6741a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e950cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
