@QUEUEPRIORITY,@GROWTHTYPE,@TYPE,@INTERNALEXTERNAL,@DESCRIPTION,@NAME,@EXPORTFLAG,@TEMPLATE,@WHENCREATED,@WHENUPDATED,@VALIDATED,@UNIQUEIDENTIFIER,@DATEVALIDATED,@TRIGGER,@CWAVERAGERATING,@CWTOTALCOMMENT,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
0,0,,0b248d2767a3438ba9dc1188028d64e5,,eMail,0,0,2013-07-24T06:27:26,2013-07-24T06:27:26,0,64519d6ff45c11e2a792002590713bc0,1899-12-30T00:00:00,,0.0,0.0,,,,6,6,6
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Phone Call,0,0,2013-07-24T06:27:26,2013-07-24T06:27:26,0,64519d70f45c11e2a792002590713bc0,1899-12-30T00:00:00,,0.0,0.0,,,,6,6,6
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Web Interface,0,0,2013-07-24T06:27:26,2013-07-24T06:27:26,0,64519d71f45c11e2a792002590713bc0,1899-12-30T00:00:00,,0.0,0.0,,,,6,6,6
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Event Management,0,0,2013-07-24T06:27:26,2013-07-24T06:27:26,0,64519d72f45c11e2a792002590713bc0,1899-12-30T00:00:00,,0.0,0.0,,,,6,6,6
0,0,,3ef3579c57bf48c8b858027f8f762661,,Pre-Order,0,0,2003-04-09T12:01:14,2003-04-09T12:01:23,0,658ea34444ca4574a9b1db9b4e5fd733,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Design Completed,0,0,2004-03-17T10:59:30,2004-03-17T10:59:39,0,6672d93477f111d8bc1d0003476dfa9b,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Start Report Resource Trouble,0,0,2012-02-01T16:19:27,2012-02-01T16:19:27,0,6b002ac94d1a11e1a996002564cb911c,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Enbd Report Resource Trouble,0,0,2012-02-01T16:19:32,2012-02-01T16:19:32,0,6b002aca4d1a11e1a996002564cb911c,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,End Create Resource Trouble Report,0,0,2012-02-01T15:58:08,2012-02-01T15:58:10,0,6b0a02224d1711e1a996002564cb911c,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,End Report Customer Problem,0,0,2012-02-01T15:07:54,2012-02-01T15:07:56,0,6c62e6264d1011e1a996002564cb911c,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Action(s) carried out,0,0,2005-05-12T18:01:06,2005-05-12T18:01:32,0,6d88b501c30711d981b70010c6589928,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Start Track & Manage Resource Trouble,0,0,2012-02-01T16:33:51,2012-02-01T16:33:51,0,6de45d044d1c11e1a996002564cb911c,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,End Track & Manage Resource Trouble,0,0,2012-02-01T16:33:56,2012-02-01T16:33:56,0,6de45d054d1c11e1a996002564cb911c,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Offer Accepted,0,0,2009-03-27T10:41:24,2010-06-21T11:12:03,0,6f2134701ab311deb424000e35d948d7,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Start Report Customer Problem,0,0,2012-02-01T15:01:01,2012-02-01T15:01:24,0,75e8327c4d0f11e1a996002564cb911c,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,eab48b00e15b4d66883fbfc50e5d3422,,Customer Domain,0,0,2022-03-17T14:06:57,2022-03-17T14:07:03,0,7bb1576ba5fb11ec94f7000d3a0ebc70,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,End Correct & Resolve Resource Trouble,0,0,2012-02-01T15:51:19,2012-02-01T15:51:20,0,7ce007814d1611e1a996002564cb911c,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Start Report Service Problem,0,0,2012-02-02T17:59:00,2012-02-02T17:59:00,0,7deff9ec4df111e1a996002564cb911c,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,End Survey & Analyze Service Problem,0,0,2012-02-02T18:20:32,2012-02-02T18:20:32,0,801e67a74df411e1a996002564cb911c,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Formalized service configuration change,0,0,2003-02-12T18:01:42,2003-07-31T18:52:14,0,81c7ac91d75f47adb4c9521c3884832a,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Close Service Trouble Report,0,0,2012-02-15T09:22:37,2012-02-15T09:22:37,0,81dceb9357e011e1aa36002564cb911c,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,End Close Service Trouble Report,0,0,2012-02-15T09:22:44,2012-02-15T09:22:44,0,81dceb9457e011e1aa36002564cb911c,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,3ef3579c57bf48c8b858027f8f762661,,Authorize Call,0,0,2004-04-14T18:29:28,2004-08-05T19:49:20,-1,84019fac8e2811d8bc200003476dfa9b,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,eab48b00e15b4d66883fbfc50e5d3422,,Debit Request,0,0,2004-05-12T10:32:29,2004-05-12T10:39:31,0,85af9000a3e611d8bc2f0003476dfa9b,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Start Track & Manage Customer Problem,0,0,2012-02-01T15:08:40,2012-02-01T15:08:42,0,87733e494d1011e1a996002564cb911c,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,End Track & Manage Customer Problem,0,0,2012-02-01T15:08:44,2012-02-01T15:08:46,0,87733e4a4d1011e1a996002564cb911c,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,3ef3579c57bf48c8b858027f8f762661,,Service Details for Billing,0,0,2003-03-12T17:12:48,2003-03-12T17:12:58,0,8ae59ac92e354f47bd0c4cb291997e98,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Advice of Charge Request,0,0,2004-07-01T13:00:59,2010-05-06T23:07:51,0,8cd6dda0cb4511d8bc390003476dfa9b,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
