@TEMPLATE,@TYPE,@ALLOWAUTOMATICDELETION,@NAME,@DESCRIPTION,@VALIDATED,@EXPORTFLAG,@UNIQUEIDENTIFIER,@DATEVALIDATED,@WHENCREATED,@WHENUPDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,,0,,,0,0,26f8748b5dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:07,2021-12-15T17:48:07,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,26f8748c5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874905dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:07,2021-12-15T17:48:07,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,26f874915dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874955dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:08,2021-12-15T17:48:08,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,26f874535dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874995dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:08,2021-12-15T17:48:08,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,26f8749a5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f8749e5dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:08,2021-12-15T17:48:08,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,26f8749f5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874a15dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:08,2021-12-15T17:48:08,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874a25dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874a75dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:09,2021-12-15T17:48:09,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874a85dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874aa5dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:09,2021-12-15T17:48:09,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874ab5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874ad5dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:09,2021-12-15T17:48:09,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874ae5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874b05dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:09,2021-12-15T17:48:09,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874b15dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874b35dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:09,2021-12-15T17:48:09,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874b45dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874b65dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:09,2021-12-15T17:48:09,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874b75dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874b95dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:09,2021-12-15T17:48:09,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874ba5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874bc5dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:09,2021-12-15T17:48:09,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874bd5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874bf5dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:09,2021-12-15T17:48:09,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874c05dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
