@DESCRIPTION,@TEMPLATE,@VALIDATED,@DATEVALIDATED,@WHENUPDATED,@TYPE,@WHENCREATED,@ALLOWAUTOMATICDELETION,@UNIQUEIDENTIFIER,@NAME,@EXPORTFLAG,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:12,,2021-07-22T18:05:12,0,58655927eb1711eb8103000d3a02ed0d,,0,321cfba241a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,13bf0b76ea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:12,,2021-07-22T18:05:12,0,58655929eb1711eb8103000d3a02ed0d,,0,321cfbad41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,13bf0b76ea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:12,,2021-07-22T18:05:12,0,5865592beb1711eb8103000d3a02ed0d,,0,321cfbb041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,13bf0b76ea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:12,,2021-07-22T18:05:12,0,5865592deb1711eb8103000d3a02ed0d,,0,321cfbe441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,13bf0b7dea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:12,,2021-07-22T18:05:12,0,5865592feb1711eb8103000d3a02ed0d,,0,321cfbf441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,13bf0b80ea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:12,,2021-07-22T18:05:12,0,58655931eb1711eb8103000d3a02ed0d,,0,321cfbf741a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,13bf0b80ea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:12,,2021-07-22T18:05:12,0,58655933eb1711eb8103000d3a02ed0d,,0,321cfc0841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,13bf0b85ea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:13,,2021-07-22T18:05:13,0,58655935eb1711eb8103000d3a02ed0d,,0,321cfc0c41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,13bf0b85ea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:13,,2021-07-22T18:05:13,0,58655937eb1711eb8103000d3a02ed0d,,0,381445fa41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,13bf0b8aea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:13,,2021-07-22T18:05:13,0,58655939eb1711eb8103000d3a02ed0d,,0,381445fd41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,13bf0b8dea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
