@ALLOWAUTOMATICDELETION,@DESCRIPTION,@UNIQUEIDENTIFIER,@EXPORTFLAG,@WHENCREATED,@WHENUPDATED,@NAME,@DATEVALIDATED,@TEMPLATE,@VALIDATED,@TYPE,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,,f2b7bbff6f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:30,2022-01-06T17:13:30,,1899-12-30T00:00:00,0,0,,caf7cb0e283d11e6bf18002590713bc0,FRAMEWORXFUNCTION,2cf062b45dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bc006f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:30,2022-01-06T17:13:30,,1899-12-30T00:00:00,0,0,,caf7cb11283d11e6bf18002590713bc0,FRAMEWORXFUNCTION,2cf062b45dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bc016f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:30,2022-01-06T17:13:30,,1899-12-30T00:00:00,0,0,,5e5be0484f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,2cf062ae5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bc026f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:30,2022-01-06T17:13:30,,1899-12-30T00:00:00,0,0,,59974c24f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,26f8747d5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bc036f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:30,2022-01-06T17:13:30,,1899-12-30T00:00:00,0,0,,5f91df11f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,26f8747a5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bc046f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:30,2022-01-06T17:13:30,,1899-12-30T00:00:00,0,0,,5f91df17f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,26f874775dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bc056f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:30,2022-01-06T17:13:30,,1899-12-30T00:00:00,0,0,,5f91df1af4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,26f874775dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bc066f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:30,2022-01-06T17:13:30,,1899-12-30T00:00:00,0,0,,5f91df1df4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,26f8747a5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bc076f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:30,2022-01-06T17:13:30,,1899-12-30T00:00:00,0,0,,5f91df23f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,26f8747d5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bc086f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:30,2022-01-06T17:13:30,,1899-12-30T00:00:00,0,0,,5f91dfaff4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,26f8747a5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
