@NAME,@TYPE,@ALLOWAUTOMATICDELETION,@DESCRIPTION,@TEMPLATE,@DATEVALIDATED,@EXPORTFLAG,@VALIDATED,@WHENCREATED,@WHENUPDATED,@UNIQUEIDENTIFIER,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:11:48,2016-06-01T15:11:48,6f5dacce283d11e6bf18002590713bc0,59974ab9f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,7e4738d81eb311e0b75a002564cb911c,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:11:49,2016-06-01T15:11:49,6f5dacd0283d11e6bf18002590713bc0,59974abcf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,7e4738d81eb311e0b75a002564cb911c,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:11:49,2016-06-01T15:11:49,6f5dacd2283d11e6bf18002590713bc0,59974abff4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,7e4738d81eb311e0b75a002564cb911c,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:11:50,2016-06-01T15:11:50,6f5dacd4283d11e6bf18002590713bc0,59974ac2f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,7e4738d81eb311e0b75a002564cb911c,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:11:50,2016-06-01T15:11:50,6f5dacd6283d11e6bf18002590713bc0,59974ac5f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,7e4738d81eb311e0b75a002564cb911c,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:11:51,2016-06-01T15:11:51,6f5dacd8283d11e6bf18002590713bc0,59974ac8f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,7e4738d81eb311e0b75a002564cb911c,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:11:52,2016-06-01T15:11:52,6f5dacda283d11e6bf18002590713bc0,59974acbf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,7e4738d81eb311e0b75a002564cb911c,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:11:55,2016-06-01T15:11:55,758387cc283d11e6bf18002590713bc0,59974ae0f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,3da3178a12b611dc87b800059a3c7800,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:11:56,2016-06-01T15:11:56,758387ce283d11e6bf18002590713bc0,59974ae3f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,3da3178a12b611dc87b800059a3c7800,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:11:56,2016-06-01T15:11:56,758387d0283d11e6bf18002590713bc0,59974ae6f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,3da3178a12b611dc87b800059a3c7800,TAMAPPLICATION,32,32,32,,,
