@NAME,@TYPE,@TEMPLATE,@ALLOWAUTOMATICDELETION,@EXPORTFLAG,@WHENUPDATED,@DATEVALIDATED,@UNIQUEIDENTIFIER,@DESCRIPTION,@WHENCREATED,@VALIDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,,0,0,0,2021-05-13T09:23:26,1899-12-30T00:00:00,daf67fb3b3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:26,0,ec54f51b637011e4925a6817294aebff,FRAMEWORXCATEGORY,5f91df14f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:26,1899-12-30T00:00:00,daf67fb6b3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:26,0,ec54f51b637011e4925a6817294aebff,FRAMEWORXCATEGORY,5f91df17f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:27,1899-12-30T00:00:00,daf67fb9b3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:27,0,ec54f51b637011e4925a6817294aebff,FRAMEWORXCATEGORY,5f91df1af4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:27,1899-12-30T00:00:00,daf67fbcb3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:27,0,ec54f51b637011e4925a6817294aebff,FRAMEWORXCATEGORY,5f91df1df4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:27,1899-12-30T00:00:00,daf67fbfb3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:27,0,ec54f51b637011e4925a6817294aebff,FRAMEWORXCATEGORY,5f91df23f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:27,1899-12-30T00:00:00,daf67fc2b3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:27,0,f434ce9eb35a11eb80ff000d3a02ed0d,FRAMEWORXCATEGORY,5f91df29f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:27,1899-12-30T00:00:00,daf67fc8b3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:27,0,f434ce9eb35a11eb80ff000d3a02ed0d,FRAMEWORXCATEGORY,5f91df2ff4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:28,1899-12-30T00:00:00,daf67fcbb3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:28,0,f434ce9eb35a11eb80ff000d3a02ed0d,FRAMEWORXCATEGORY,5f91df32f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:28,1899-12-30T00:00:00,daf67fceb3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:28,0,f434ce9eb35a11eb80ff000d3a02ed0d,FRAMEWORXCATEGORY,5f91df38f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:28,1899-12-30T00:00:00,daf67fd1b3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:28,0,f434ce9eb35a11eb80ff000d3a02ed0d,FRAMEWORXCATEGORY,5f91df3bf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:28,1899-12-30T00:00:00,daf67fd4b3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:28,0,f434ce9eb35a11eb80ff000d3a02ed0d,FRAMEWORXCATEGORY,5f91df3ef4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:28,1899-12-30T00:00:00,daf67fd7b3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:28,0,f434ce9eb35a11eb80ff000d3a02ed0d,FRAMEWORXCATEGORY,5f91df41f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:29,1899-12-30T00:00:00,daf67fdab3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:29,0,f434ce9eb35a11eb80ff000d3a02ed0d,FRAMEWORXCATEGORY,5f91df44f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:29,1899-12-30T00:00:00,daf67fddb3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:29,0,f2c7e677637011e4925a6817294aebff,FRAMEWORXCATEGORY,5f91df47f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:29,1899-12-30T00:00:00,daf67fdeb3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:29,0,ec54f51b637011e4925a6817294aebff,FRAMEWORXCATEGORY,5f91df47f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:29,1899-12-30T00:00:00,daf67fdfb3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:29,0,f2c7e676637011e4925a6817294aebff,FRAMEWORXCATEGORY,5f91df47f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:29,1899-12-30T00:00:00,daf67fe2b3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:29,0,f2c7e677637011e4925a6817294aebff,FRAMEWORXCATEGORY,5f91df4af4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
